Cours,Ordre cours,Nom du mouvement,GIF,Difficulté,Famille,Type 1,Type 2,Type 3,Type 4,Position départ,Position arrivée,Nombre de temps,Déplacement,Remarques,Timmy,fichier GIF,Url CloudFlare R2 gifs,URL clouflare R2
,,,,,,,,,,,,,,,,,,
Cours 1 : Dynamique de base,,Cours 1 : Dynamique de base,,,,,,,,,,,,,,,,
Cours 1 : Dynamique de base,1,Avant arrière mains parallèles,x,1,Base,Pas de base,,,,Mains //,Mains //,4,Ligne fille,,,1 Avant arrière mains parallèles.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/1 Avant arrière mains parallèles.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/1 Avant arrière mains parallèles.gif
Cours 1 : Dynamique de base,2,Avant-Arrière MG-MD,x,1,Base,Pas de base,,,,MG/MD,MG/MD,4,Ligne fille,,,2 Avant arrière MG-MD.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/2 Avant arrière MG-MD.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/2 Avant arrière MG-MD.gif
Cours 1 : Dynamique de base,3,Traversée à droite,x,1,Base,Traversée,,,,MG/MD,MG/MD,4,Ligne fille,,,3 Traversée à droite.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/3 Traversée à droite.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/3 Traversée à droite.gif
Cours 1 : Dynamique de base,4,Traversée à gauche,x,1,Base,Traversée,,,,MG/MD,MG/MD,4,Ligne fille,,,4 Traversée à gauche.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/4 Traversée à gauche.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/4 Traversée à gauche.gif
,,,,,,,,,,,,,,,,,,
Cours 2 : Tours et traversées,,Cours 2 : Tours et traversées,,,,,,,,,,,,,,,,
Cours 2 : Tours et traversées,5,Tour intérieur,x,1,Base,Pas de base,,,,MG/MD,MG/MD,4,Ligne fille,,,5 Tour intérieur.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/5 Tour intérieur.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/5 Tour intérieur.gif
Cours 2 : Tours et traversées,6,Tour extérieur,x,1,Base,Pas de base,,,,MG/MD,MG/MD,4,Ligne fille,,,6 Tour extérieur.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/6 Tour extérieur.gif,https://pub-e9db5024dff64a89897b25c9ea2a0d59.r2.dev/6 Tour extérieur.gif
