numero,file id,Nom fichier gif,mime type,web content link,webview link,icon link,lien vignette,
1,1y-RpQ8J4hlYLH3CiPusxGWfEOgPPJLX7,1 Avant arrière mains parallèles.gif,image/gif,https://drive.google.com/file/d/1y-RpQ8J4hlYLH3CiPusxGWfEOgPPJLX7/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBMoscP5v_rrz5daJJz7MRQ9N4DkjLuYGhbmWGcH7ErrjKcpCkuxIeXwebyyFSGDHtNuzeX174GUthE3ZdKDDU-_4u4GJKMd3g201s1685e6qw=s220,1 Avant arrière mains parallèles.gif,gif
2,1UQ6XKACsT6w3HDe5KyUOVjkngyXbBGQ4,2 Avant arrière MG-MD.gif,image/gif,https://drive.google.com/file/d/1UQ6XKACsT6w3HDe5KyUOVjkngyXbBGQ4/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBO4alGdVFgOQSYcJLU6Mf3WFRqjGpzFk1g4UrNl8icHnSltdUVci7VuqmN5Nf90iN_znbD6XT0rqGMlaGieYtarq2_MauFd_QIrSdawr_-08Q=s220,2 Avant arrière MG-MD.gif,gif
3,1lFati-bHoUaqwI5IoRTCiYuk-XF2JXYa,3 Traversée à droite.gif,image/gif,https://drive.google.com/file/d/1lFati-bHoUaqwI5IoRTCiYuk-XF2JXYa/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBMl3ETg7pdlvS5APe7Gj3vh5CxCZTnqRbJ0sI3pUZwzt4y-MB6Bw_Bxt0E6zAzFtQ8iIducsux6KsuDPP-NekDpFI7J9ZkFbMACF5avDn2G4Ws=s220,3 Traversée à droite.gif,gif
4,1hQGno3nQ1jhwKu8msGvKbd4CKRftKehc,4 Traversée à gauche.gif,image/gif,https://drive.google.com/file/d/1hQGno3nQ1jhwKu8msGvKbd4CKRftKehc/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBO_T_4jzRz0jqgMRyTo3U_2f3wbedimRr_Dd9R_r0dOsnlDGcl024jHoZx-UNISzrz_UXlSN88eHUU0UvAKteginxRWTs7kqCJvEGHSAwFomg=s220,4 Traversée à gauche.gif,gif
5,1u2CoJu5W6NoVtPv6IVczPhSrS5jzbPX6,5 Tour intérieur.gif,image/gif,https://drive.google.com/file/d/1u2CoJu5W6NoVtPv6IVczPhSrS5jzbPX6/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBOdn-4wfieNCe5nfZrxpVHHD1905RSe9xn6_XzFdJ1hqkPNZVx2_2lu2gcQKS0qgdEmBN7rkFlUMcM9pN-xy47dhEzh4jdtWw4usp4cP1cUKZM=s220,5 Tour intérieur.gif,gif
6,1XKjZXmS3zd48w6267728_shALzMlgcBh,6 Tour extérieur.gif,image/gif,https://drive.google.com/file/d/1XKjZXmS3zd48w6267728_shALzMlgcBh/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBOSGrhZLG6BJGrjxOorediGjGHA3ChnxGHQZ1iG-6EQ_2gWnBYg00ATriUsn4GAjG28V8BtiLTXwdN6jXf-zsnGHVma5nJDDQrgqxhd4I9wMI4=s220,6 Tour extérieur.gif,gif
7,1-QY64GD4txJI1_VfI9sLq69BILJoaFfr,7 Traversée tour intérieur à droite.gif,image/gif,https://drive.google.com/file/d/1-QY64GD4txJI1_VfI9sLq69BILJoaFfr/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBOppMcfCN0rstyHTo0lelqpEgHvSQ5A7_PcaPl9Di5iu6WLJUCivW8sZcPbTBCJwyn2a10f2T-IOS-RCgwARbkkj0teJu8NuqUu5WWknbaxjvs=s220,7 Traversée tour intérieur à droite.gif,gif
8,1tdLvligNwIojcduklYvNPcZAKy3lI3fy,8 Traversée tour extérieur à droite.gif,image/gif,https://drive.google.com/file/d/1tdLvligNwIojcduklYvNPcZAKy3lI3fy/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBPZJU_lKtHrJ2-JIprYZRM7jNqHkC0z3wOVCQrOV7k0LVpMsY375SNsIl1nOiuxyMw0TS_eMCa-axILGCgx-qW8bvz_lML7g75w4x6HyFF5uEM=s220,8 Traversée tour extérieur à droite.gif,gif
9,1ZBJWH4T6EGP7p8wYmZz6OWyt9q_0UMFN,9 Barrage.gif,image/gif,https://drive.google.com/file/d/1ZBJWH4T6EGP7p8wYmZz6OWyt9q_0UMFN/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBMvI8Tb2lVNFFEAriNy14ih16UUIiZL16z48l5UzfBxrSgpVFZ8hYVgPTZWasDD-zMKP4teQFjtcPz84Qggq89qLIlBPSmUpgwUg6rqQ21t-uI=s220,9 Barrage.gif,gif
10,12DJekf2lv9lxviwIzB9-0uSs4sxweSR5,10 Couple sortie sous le bras.gif,image/gif,https://drive.google.com/file/d/12DJekf2lv9lxviwIzB9-0uSs4sxweSR5/view?usp=drivesdk,https://drive-thirdparty.googleusercontent.com/16/type/image/gif,https://lh3.googleusercontent.com/drive-storage/AJQWtBMy9uGwZieM2qRmQi1HH_c6BxkllZT1dqAxlnNODNqnF1gEwUvFtBvhX2-HvbYiidzY7zhso3Qj8nZZikpOJq90LEIRX0_HTEOryeu6PVt8E-I=s220,10 Couple sortie sous le bras.gif,gif
